date,return,cumulative
2024-12-16,0.040311882629261345,0.04031188262926144
2024-12-17,-0.010103283683812038,0.029801316559417312
2024-12-18,0.011922462535142042,0.042079084174736714
2024-12-19,0.008868099324195898,0.05132034499686533
2024-12-20,0.013095004806796175,0.06508738996808194
2024-12-23,0.03402616829426773,0.10132823274723823
2024-12-24,0.012167079720819153,0.11472818115386274
2024-12-26,0.004034269157555314,0.11922529467414944
2024-12-27,-0.009720377554683923,0.10834600224116442
2024-12-30,0.005968060997196734,0.11496067878853888
2024-12-31,0.0016204092815323315,0.11676737142099158
2025-01-02,0.007626493169510253,0.12528439015106563
2025-01-03,-0.014775739335203467,0.10865748132422004
2025-01-06,0.022023591036913315,0.133074100292919
2025-01-07,-0.01407515475034621,0.11712590698768688
2025-01-08,-0.0021004362794005416,0.11477945520399158
2025-01-10,0.0041231293311268045,0.1193758350734806
2025-01-13,0.008319473106620115,0.1286884522295748
2025-01-14,0.006953475523167285,0.13653675975543478
