date,return,cumulative
2024-12-16,0.06807393230486769,0.06807393230486758
2024-12-17,0.007497104680235567,0.0760813943815879
2024-12-18,-0.04187489970469016,0.031020593917775674
2024-12-19,0.007338135828989872,0.03858636307843022
2024-12-20,0.005164863496332495,0.043950519872882676
2024-12-23,-0.036896784258284576,0.005432102764808988
2024-12-24,0.0023518467020732237,0.007796724939855171
2024-12-26,-0.001278302835831286,0.006508455528423163
2024-12-27,-0.012038292734996348,-0.005608187899477035
2024-12-30,-0.009532007839680445,-0.015086738448133241
2024-12-31,0.012157194373960512,-0.0031129564859558867
2025-01-02,0.004389170462511971,0.001262550679896668
2025-01-03,0.022843543215584756,0.024134935026499438
2025-01-06,0.023838077484729693,0.048548342962479785
2025-01-07,0.015093400846858817,0.06437450341012219
2025-01-08,0.0029303780663128,0.06749352310925771
2025-01-10,0.004085911254120611,0.07185520690903058
2025-01-13,0.07065080769024586,0.14758264300414914
2025-01-14,0.002540627621908802,0.15049822316538863
